1	2 
2	13 
3	7 
4	1 
5	8 
6	14 
7	13 
8	11 
9	4 
10	1 
11	11 
12	9 
13	2 
14	4 
15	5 
16	9 
17	6 
18	10 
19	14 
20	2 
21	9 
22	3 
23	3 
24	5 
25	13 
26	11 
27	5 
28	4 
29	7 
30	14 
31	1 
32	4 
33	8 
34	11 
35	8 
36	14 
37	1 
38	8 
39	8 
40	14 
41	8 
42	9 
43	8 
44	13 
45	1 
46	9 
47	5 
48	4 
49	8 
50	2 
51	12 
52	12 
53	8 
54	7 
55	10 
56	8 
57	7 
58	8 
59	7 
60	13 
61	2 
62	10 
63	12 
64	14 
65	9 
66	9 
67	7 
68	4 
69	11 
70	14 
71	2 
72	5 
73	4 
74	4 
75	13 
76	11 
77	13 
78	4 
79	13 
80	14 
81	11 
82	2 
83	4 
84	14 
85	1 
86	4 
87	1 
88	2 
89	6 
90	14 
91	5 
92	7 
93	8 
94	10 
95	6 
96	9 
97	6 
98	6 
99	13 
100	9 
101	10 
102	4 
103	4 
104	9 
105	10 
106	1 
107	14 
108	8 
109	6 
110	14 
111	9 
112	9 
113	2 
114	12 
115	1 
116	9 
117	8 
118	6 
119	11 
120	6 
121	8 
122	8 
123	12 
124	2 
125	5 
126	14 
127	12 
128	14 
129	1 
130	1 
131	4 
132	12 
133	2 
134	13 
135	3 
136	6 
137	4 
138	6 
139	1 
140	14 
141	6 
142	1 
143	8 
144	9 
145	14 
146	8 
147	3 
148	10 
149	2 
150	6 
151	7 
152	4 
153	4 
154	11 
155	5 
156	4 
157	9 
158	11 
159	8 
160	5 
161	8 
162	8 
163	1 
164	4 
165	7 
166	8 
167	13 
168	8 
169	6 
170	3 
171	4 
172	14 
173	10 
174	6 
175	3 
176	9 
177	11 
178	4 
179	4 
180	14 
181	2 
182	10 
183	9 
184	10 
185	14 
186	10 
187	8 
188	6 
189	8 
190	6 
191	1 
192	4 
193	8 
194	6 
195	6 
196	9 
197	3 
198	12 
199	10 
200	14 
201	7 
202	9 
203	6 
204	3 
205	14 
206	3 
207	1 
208	14 
209	4 
210	1 
211	3 
212	4 
213	12 
214	8 
215	9 
216	3 
217	4 
218	2 
219	4 
220	2 
221	9 
222	14 
223	14 
224	12 
225	11 
226	12 
227	11 
228	1 
229	3 
230	14 
231	14 
232	2 
233	8 
234	2 
235	1 
236	10 
237	2 
238	13 
239	4 
240	12 
241	2 
242	5 
243	10 
244	6 
245	5 
246	12 
247	7 
248	2 
249	3 
250	10 
251	4 
252	8 
253	2 
254	3 
255	10 
256	14 
257	4 
258	14 
259	12 
260	3 
261	8 
262	11 
263	9 
264	2 
265	7 
266	2 
267	6 
268	12 
269	14 
270	8 
271	10 
272	12 
273	7 
274	6 
275	10 
276	14 
277	6 
278	2 
279	5 
280	4 
281	4 
282	8 
283	9 
284	2 
285	6 
286	5 
287	1 
288	2 
289	3 
290	3 
291	5 
292	9 
293	4 
294	13 
295	8 
296	8 
297	8 
298	4 
299	9 
300	6 
301	8 
302	11 
303	2 
304	4 
305	14 
306	11 
307	6 
308	12 
309	10 
310	9 
311	11 
312	13 
313	14 
314	8 
315	6 
316	11 
317	12 
318	5 
319	3 
320	5 
321	3 
322	8 
323	1 
324	6 
325	2 
326	2 
327	5 
328	11 
329	3 
330	1 
331	6 
332	8 
333	8 
334	5 
335	12 
336	9 
337	3 
338	9 
339	8 
340	8 
341	9 
342	4 
343	13 
344	8 
345	12 
346	11 
347	10 
348	8 
349	8 
350	5 
351	14 
352	5 
353	4 
354	8 
355	6 
356	7 
357	3 
358	3 
359	6 
360	9 
361	5 
362	9 
363	12 
364	9 
365	6 
366	10 
367	11 
368	2 
369	3 
370	14 
371	9 
372	12 
373	9 
374	2 
375	3 
376	12 
377	6 
378	6 
379	4 
380	4 
381	11 
382	13 
383	2 
384	10 
385	8 
386	6 
387	1 
388	3 
389	9 
390	4 
391	5 
392	8 
393	7 
394	8 
395	7 
396	5 
397	11 
398	5 
399	3 
400	5 
